,codigo,ano,situacao,qtd_feminino,qtd_masculino
621,ASTROFISICA GALACTICA,2021,APROVADO,0.2380952381,0.1666666667
622,ASTROFISICA GALACTICA,2021,TRANCADO,0,0.08333333333
623,ASTROFISICA GALACTICA,2022,APROVADO,0.09523809524,0.08333333333
625,ASTROFISICA EXTRAGALACTICA,2017,APROVADO,0.09523809524,0
630,ASTROFISICA EXTRAGALACTICA,2020,APROVADO,0.09523809524,0.08333333333
631,ASTROFISICA EXTRAGALACTICA,2021,APROVADO,0.2380952381,0.08333333333
632,ASTROFISICA EXTRAGALACTICA,2021,REPROVADO,0.09523809524,0.04166666667
633,ASTROFISICA EXTRAGALACTICA,2021,TRANCADO,0,0.08333333333
634,ASTROFISICA EXTRAGALACTICA,2022,APROVADO,0.1904761905,0.1666666667
639,INTRODUCAO A COSMOLOGIA,2019,REP. MEDIA/FALTAS,0.09523809524,0
641,INTRODUCAO A COSMOLOGIA,2020,APROVADO,0.09523809524,0.08333333333
643,INTRODUCAO A COSMOLOGIA,2021,APROVADO,0.2380952381,0.125
644,INTRODUCAO A COSMOLOGIA,2021,REPROVADO,0.09523809524,0
645,INTRODUCAO A COSMOLOGIA,2021,TRANCADO,0,0.08333333333
646,INTRODUCAO A COSMOLOGIA,2022,APROVADO,0.1428571429,0.1666666667
817,CALCULO NUMERICO,2017,APROVADO,0.04761904762,0.08333333333
818,CALCULO NUMERICO,2017,REP. MEDIA/FALTAS,0.1428571429,0.2083333333
819,CALCULO NUMERICO,2017,REPROVADO,0.04761904762,0.08333333333
820,CALCULO NUMERICO,2017,TRANCADO,0,0.08333333333
821,CALCULO NUMERICO,2018,APROVADO,0.2380952381,0.08333333333
823,CALCULO NUMERICO,2018,REP. MEDIA/FALTAS,0,0.375
824,CALCULO NUMERICO,2018,REPROVADO,0.09523809524,0.04166666667
825,CALCULO NUMERICO,2018,TRANCADO,0,0.125
826,CALCULO NUMERICO,2019,APROVADO,0.2857142857,0.3333333333
827,CALCULO NUMERICO,2019,REP. MEDIA/FALTAS,0,0.1666666667
828,CALCULO NUMERICO,2019,REPROVADO,0,0.1666666667
829,CALCULO NUMERICO,2019,TRANCADO,0.04761904762,0.08333333333
830,CALCULO NUMERICO,2020,APROVADO,0.1904761905,0.2916666667
831,CALCULO NUMERICO,2020,REPROVADO,0,0.2083333333
832,CALCULO NUMERICO,2021,APROVADO,0.1904761905,0.2083333333
834,CALCULO NUMERICO,2021,REPROVADO,0,0.08333333333
835,CALCULO NUMERICO,2022,APROVADO,0.4285714286,0.3333333333
846,VETORES E GEOMETRIA ANALITICA,2017,APROVADO,0.04761904762,0.25
847,VETORES E GEOMETRIA ANALITICA,2017,DESISTENCIA,0,0.2083333333
849,VETORES E GEOMETRIA ANALITICA,2017,REPROVADO,0.4285714286,0.5416666667
850,VETORES E GEOMETRIA ANALITICA,2017,TRANCADO,0.1904761905,0.08333333333
851,VETORES E GEOMETRIA ANALITICA,2018,APROVADO,0.5714285714,0.4166666667
853,VETORES E GEOMETRIA ANALITICA,2018,REP. MEDIA/FALTAS,0.4285714286,0.7083333333
854,VETORES E GEOMETRIA ANALITICA,2018,REPROVADO,0.4285714286,0.625
855,VETORES E GEOMETRIA ANALITICA,2018,TRANCADO,0.1428571429,0.1666666667
856,VETORES E GEOMETRIA ANALITICA,2019,APROVADO,0.2857142857,0.3333333333
858,VETORES E GEOMETRIA ANALITICA,2019,REP. MEDIA/FALTAS,0.7142857143,0.7916666667
859,VETORES E GEOMETRIA ANALITICA,2019,REPROVADO,0.4761904762,0.4583333333
860,VETORES E GEOMETRIA ANALITICA,2019,TRANCADO,0.1428571429,0.08333333333
861,VETORES E GEOMETRIA ANALITICA,2020,APROVADO,0.380952381,0.5
863,VETORES E GEOMETRIA ANALITICA,2020,REPROVADO,0.619047619,0.7083333333
864,VETORES E GEOMETRIA ANALITICA,2020,TRANCADO,0.1904761905,0.125
865,VETORES E GEOMETRIA ANALITICA,2021,APROVADO,0.619047619,0.3333333333
866,VETORES E GEOMETRIA ANALITICA,2021,DESISTENCIA,0.09523809524,0
867,VETORES E GEOMETRIA ANALITICA,2021,REPROVADO,0.5238095238,0.625
868,VETORES E GEOMETRIA ANALITICA,2021,TRANCADO,0.380952381,0.1666666667
869,VETORES E GEOMETRIA ANALITICA,2022,APROVADO,0.5238095238,0.25
871,VETORES E GEOMETRIA ANALITICA,2022,REP. MEDIA/FALTAS,0,0.2916666667
872,VETORES E GEOMETRIA ANALITICA,2022,REPROVADO,0.3333333333,0.1666666667
873,VETORES E GEOMETRIA ANALITICA,2022,TRANCADO,0.3333333333,0.08333333333
874,CALCULO A,2018,APROVADO,0.2380952381,0.2083333333
875,CALCULO A,2018,DESISTENCIA,0.09523809524,0.04166666667
876,CALCULO A,2018,REP. MEDIA/FALTAS,0.4285714286,1
877,CALCULO A,2018,REPROVADO,0.5238095238,0.375
878,CALCULO A,2018,TRANCADO,0.1904761905,0.1666666667
879,CALCULO A,2019,APROVADO,0.2857142857,0.3333333333
881,CALCULO A,2019,REP. MEDIA/FALTAS,0.3333333333,0.5833333333
882,CALCULO A,2019,REPROVADO,1,0.8333333333
883,CALCULO A,2019,TRANCADO,0.1428571429,0.1666666667
884,CALCULO A,2020,APROVADO,0.4761904762,0.625
886,CALCULO A,2020,REPROVADO,0.5714285714,0.6666666667
887,CALCULO A,2020,TRANCADO,0.2380952381,0.04166666667
888,CALCULO A,2021,APROVADO,0.7619047619,0.4166666667
889,CALCULO A,2021,DESISTENCIA,0.09523809524,0
890,CALCULO A,2021,REPROVADO,0.4285714286,0.5
891,CALCULO A,2021,TRANCADO,0.2380952381,0.125
892,CALCULO A,2022,APROVADO,0.380952381,0.2083333333
894,CALCULO A,2022,REP. MEDIA/FALTAS,0.1428571429,0.1666666667
895,CALCULO A,2022,REPROVADO,0.1904761905,0.2916666667
896,CALCULO A,2022,TRANCADO,0.1904761905,0.1666666667
897,CALCULO B,2018,APROVADO,0.2857142857,0.1666666667
898,CALCULO B,2018,REP. MEDIA/FALTAS,0.04761904762,0.1666666667
899,CALCULO B,2018,REPROVADO,0.04761904762,0.125
900,CALCULO B,2019,APROVADO,0.1904761905,0.3333333333
901,CALCULO B,2019,REP. MEDIA/FALTAS,0,0.08333333333
903,CALCULO B,2020,APROVADO,0.3333333333,0.4583333333
904,CALCULO B,2020,REPROVADO,0.04761904762,0.1666666667
906,CALCULO B,2021,APROVADO,0.5714285714,0.2916666667
908,CALCULO B,2021,REPROVADO,0.1428571429,0.2083333333
909,CALCULO B,2021,TRANCADO,0.09523809524,0.08333333333
910,CALCULO B,2022,APROVADO,0.3333333333,0.1666666667
911,CALCULO B,2022,REP. MEDIA/FALTAS,0.1904761905,0.1666666667
912,CALCULO B,2022,REPROVADO,0.09523809524,0.1666666667
913,CALCULO B,2022,TRANCADO,0.1904761905,0
914,CALCULO C,2018,APROVADO,0.1428571429,0
915,CALCULO C,2018,REP. MEDIA/FALTAS,0.04761904762,0.2083333333
